;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
6  Abr.;;0;0;0;0;0;;0;0;;0;;0;1;1;;0;;0;0;4;;1;;;0;0;0;;2;0;;1;0;16;1;4;10;0;0;1;;0;0;;0;0;4;46;0;;
7  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;8;;0;;0;0;2;;0;;;0;0;0;;2;0;;0;0;32;1;0;5;0;0;0;;0;0;;0;0;0;50;0;;
8  Abr.;;0;0;1;0;0;;0;0;;0;;0;0;2;;0;;0;1;2;;0;;;0;0;0;;1;0;;0;0;17;0;0;2;0;0;0;;0;0;;0;0;2;28;0;;
9  Abr.;;0;0;0;0;1;;0;0;;0;;0;0;1;;0;;0;1;2;;0;;;0;0;0;;1;0;;2;0;12;0;2;2;0;1;0;;0;0;;0;0;1;26;0;;
10 Abri.;;0;0;5;0;4;;0;0;;0;;0;0;73;;2;;1;1;13;;0;;;0;0;0;;11;0;;12;0;69;6;10;24;1;0;4;;0;0;;0;0;8;244;0;;
11 Abri.;;0;0;1;0;1;;0;0;;0;;0;1;40;;0;;0;1;16;;0;;;0;0;0;;16;0;;26;0;7;5;8;25;2;3;19;;0;0;;0;0;11;182;0;;
12 Abri.;;0;0;1;0;3;;0;0;;0;;1;1;22;;0;;1;0;20;;0;;;0;0;0;;6;0;;10;1;31;5;7;4;0;0;7;;0;0;;0;0;2;122;0;;
13 Abri.;;0;0;0;0;8;;1;0;;0;;2;0;31;;0;;1;0;24;;0;;;0;0;0;;14;0;;10;3;29;5;22;34;0;2;10;;0;0;;0;0;8;204;0;;
14 Abri.;;0;0;1;0;2;;0;0;;0;;0;0;22;;0;;0;0;13;;0;;;0;0;0;;7;0;;8;2;18;1;10;27;0;1;0;;0;0;;0;0;4;116;0;;
15 Abri.;;0;0;0;0;6;;0;0;;0;;1;0;7;;0;;0;1;4;;0;;;0;0;0;;10;0;;4;1;22;6;8;27;0;0;0;;0;0;;0;0;17;114;1;;
16 Abri.;;0;0;1;0;2;;0;0;;0;;0;0;4;;0;;0;1;1;;0;;;0;1;0;;3;0;;1;0;9;1;0;1;0;1;1;;0;0;;0;0;4;31;0;;
17 Abri.;;0;0;0;0;3;;0;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;1;0;;1;2;4;1;2;5;0;0;1;;0;0;;1;0;4;27;0;;
18 Abri.;;0;0;2;0;11;;3;0;;0;;1;0;16;;0;;0;1;10;;1;;;0;0;0;;11;0;;37;4;16;14;18;76;0;4;3;;0;0;;0;0;2;230;0;;
19 Abri.;;0;0;1;0;33;;1;0;;0;;0;0;67;;0;;1;0;13;;2;;;0;0;0;;9;0;;32;2;13;8;35;127;1;0;8;;0;0;;0;0;2;355;1;;
20 Abri.;;0;0;1;0;14;;0;0;;0;;1;0;14;;0;;1;0;3;;0;;;0;0;0;;4;0;;6;1;5;5;11;33;0;0;1;;0;0;;0;0;9;109;0;;
21 Abri.;;0;0;0;0;4;;0;0;;0;;0;0;1;;0;;1;0;1;;0;;;0;0;0;;3;0;;5;1;4;2;2;20;0;1;2;;0;0;;0;0;8;55;0;;
22 Abri.;;0;0;1;0;1;;1;0;;0;;0;0;1;;0;;0;0;1;;0;;;0;0;0;;5;0;;5;0;7;0;1;20;0;1;0;;0;0;;0;0;5;49;0;;
23 Abri.;;0;0;0;0;4;;1;0;;0;;1;0;1;;0;;0;0;0;;0;;;0;0;0;;2;0;;1;0;1;0;3;2;0;0;0;;0;0;;0;0;8;24;0;;
24 Abri.;;1;0;0;0;22;;0;0;;0;;0;0;1;;0;;0;0;4;;0;;;0;0;0;;3;0;;3;0;2;3;0;8;0;1;1;;0;0;;0;0;2;51;0;;
25 Abri.;;0;0;0;0;6;;1;0;;0;;1;0;2;;0;;1;1;2;;1;;;0;0;0;;0;0;;14;1;0;2;5;15;0;0;0;;0;0;;0;0;9;61;0;;
26 Abri.;;0;0;0;0;2;;0;0;;0;;0;0;2;;0;;0;0;1;;0;;;0;0;0;;1;0;;2;3;0;4;4;5;0;0;1;;0;0;;0;0;12;37;0;;
27 Abri.;;0;0;0;0;4;;0;0;;0;;0;0;0;;0;;0;0;1;;0;;;0;0;0;;1;0;;4;1;0;1;2;6;0;1;0;;0;0;;0;0;2;23;0;;
28 Abri.;;0;0;0;0;4;;0;0;;0;;1;0;0;;0;;0;1;1;;0;;;0;0;0;;1;0;;4;0;1;2;2;3;0;0;6;;0;0;;0;0;9;35;0;;
29 Abri.;;0;0;0;0;14;;0;0;;0;;1;0;1;;0;;0;1;0;;0;;;0;0;0;;5;0;;10;2;2;3;0;11;0;0;2;;0;0;;0;0;10;62;0;;
30 Abri.;;1;0;0;0;2;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;1;0;0;;2;0;;1;0;0;0;0;4;0;1;0;;0;0;;0;0;6;18;0;;
1  May.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;1;0;;2;0;;1;0;0;1;1;2;0;0;0;;0;0;;0;0;7;16;0;;
2  May.;;0;0;0;0;5;;0;0;;0;;1;0;3;;0;;0;1;2;;0;;;1;0;0;;2;0;;10;3;0;10;1;4;0;1;0;;0;0;;0;0;8;52;1;;
3  May.;;0;0;0;0;7;;1;0;;0;;0;0;4;;0;;0;0;1;;1;;;0;0;0;;1;0;;16;4;4;10;1;17;0;6;1;;0;0;;0;0;13;87;0;;
4  May.;;0;0;0;0;44;;1;0;;0;;0;0;42;;0;;2;0;1;;1;;;1;0;0;;1;0;;13;6;1;11;4;43;0;11;2;;0;0;;0;0;16;200;0;;
5  May.;;0;0;0;0;89;;2;0;;0;;1;0;116;;1;;2;2;2;;2;;;4;1;0;;16;1;;25;16;5;16;2;163;0;8;5;;1;0;;0;0;47;527;0;;
6  May.;;0;0;0;0;36;;0;0;;0;;3;0;74;;1;;1;0;7;;2;;;7;1;0;;13;0;;14;8;9;10;11;37;0;4;0;;0;9;;0;0;14;261;2;;
