;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
10 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;3;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4;0;;
11 Mar.;;0;0;8;0;0;;0;0;;0;;0;1;4;;0;;0;0;0;;0;;;0;0;0;;0;0;;10;0;0;1;0;0;0;0;1;;0;0;;1;0;0;26;0;;
12 Mar.;;0;0;42;0;0;;0;0;;0;;0;4;10;;0;;0;0;8;;0;;;0;0;0;;1;0;;10;0;0;0;5;0;0;0;1;;0;0;;1;0;0;82;0;;
13 Mar.;;0;0;26;0;0;;0;0;;0;;0;4;7;;0;;0;0;2;;0;;;0;0;0;;0;0;;3;0;0;0;7;1;0;0;0;;0;0;;0;0;0;50;0;;
14 Mar.;;0;0;13;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;10;0;0;0;0;0;0;0;0;;0;0;;0;0;0;26;0;;
15 Mar.;;0;0;42;0;0;;0;0;;0;;0;1;11;;0;;0;1;2;;0;;;0;0;0;;2;0;;11;0;0;1;2;4;0;0;14;;0;0;;0;0;0;91;0;;
16 Mar.;;0;0;19;0;0;;0;0;;0;;0;5;7;;0;;0;0;2;;0;;;0;1;0;;13;0;;1;0;0;2;5;2;0;0;2;;0;0;;0;0;0;59;1;;
17 Mar.;;0;0;19;0;0;;0;0;;0;;0;5;1;;0;;0;0;1;;0;;;0;0;0;;2;0;;1;0;0;0;3;1;0;0;1;;0;0;;1;0;0;35;1;;
18 Mar.;;0;0;54;0;0;;0;0;;0;;0;10;22;;0;;0;0;1;;0;;;0;2;0;;0;0;;23;0;1;3;2;7;0;0;7;;0;0;;1;0;1;134;0;;
19 Mar.;;0;0;14;0;0;;0;0;;0;;0;1;8;;0;;0;0;1;;0;;;0;0;0;;0;0;;8;0;0;0;1;2;0;0;6;;0;0;;1;0;1;43;0;;
20 Mar.;;0;0;52;0;0;;0;0;;0;;0;5;8;;0;;0;0;2;;0;;;0;0;0;;1;0;;15;0;1;0;0;2;0;0;1;;0;0;;0;0;1;88;0;;
21 Mar.;;0;0;13;0;0;;0;0;;0;;0;3;2;;0;;0;0;1;;0;;;0;0;0;;3;0;;2;0;0;0;7;1;0;0;3;;0;0;;0;0;0;35;0;;
22 Mar.;;0;0;14;0;0;;0;0;;0;;0;2;4;;0;;0;0;3;;0;;;0;0;0;;1;0;;1;0;0;1;5;0;0;0;2;;0;0;;0;0;0;33;0;;
23 Mar.;;0;0;4;0;0;;0;0;;0;;0;5;6;;0;;0;0;3;;0;;;0;0;0;;0;0;;1;0;0;0;2;2;0;2;3;;0;0;;0;0;0;28;4;;
24 Mar.;;0;0;12;0;0;;0;0;;0;;0;7;2;;0;;0;0;11;;0;;;0;0;0;;0;0;;1;0;0;0;0;2;0;0;4;;0;0;;0;0;2;41;8;;
25 Mar.;;0;0;102;0;0;;0;0;;0;;0;7;25;;0;;0;0;10;;0;;;0;0;0;;17;0;;56;0;14;0;5;1;0;0;9;;0;0;;13;0;3;262;0;;
26 Mar.;;0;0;76;0;0;;0;0;;0;;0;7;22;;0;;0;0;0;;0;;;0;0;0;;17;0;;58;0;8;1;7;11;0;0;22;;0;0;;7;0;0;236;0;;
27 Mar.;;0;0;77;0;0;;0;0;;0;;0;38;36;;0;;0;0;0;;0;;;0;0;0;;7;0;;85;1;25;1;8;5;0;0;0;;0;0;;2;0;16;301;0;;
